name,logo,intro,link,publisher,publisherName,order
"STX Next: CTO Report Says Half of Businesses Now Using ML","https://www.stxnext.com/hubfs/technology-magazine-dark-logo.png","Machine learning’s popularity looks set to continue with 66% of CTOs predicting it will become much more prominent in the next two to four years","https://technologymagazine.com/articles/stx-next-cto-report-says-half-of-businesses-now-using-ml","technology-magazine-dark","Technology Magazine Dark","66"
"AI unleashed: Navigating the future of business in the age of ChatGPT","https://www.stxnext.com/hubfs/Business-Leader-logo.jpg","<span>AI has the ability to reshape industries. The rapid advances in AI in 2023 with ChatGPT and other large language models have highlighted exciting possibilities but also huge risks as businesses continue to push the boundaries of AI capabilities.</span>","https://www.businessleader.co.uk/ai-unleashed-future-business/","business-leader","Business Leader","65"
"STX Next partners with Squirro to strengthen AI capabilities","https://www.stxnext.com/hubfs/enterprise-talk-logo.png","<strong><a href=""../../../com/stxnext/www/index.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">STX Next</a></strong><span>, a prominent IT services and consulting company, has announced a new partnership with&nbsp;</span><strong><a href=""https://squirro.com/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Squirro</a></strong><span>, the generative AI-powered enterprise search and insights cloud provider.</span>","https://enterprisetalk.com/news/stx-next-partners-with-squirro-to-strengthen-ai-capabilities/","enterprise-talk","Enterprise Talk","64"
"How fintech companies and other firms succeed using AI","https://www.stxnext.com/hubfs/TechHQ-logo.jpeg","<span>Fintech firms succeed in using AI by deploying algorithms to deliver products and services in ways that only machines can achieve.</span>","https://techhq.com/2023/10/how-fintech-companies-and-other-firms-succeed-using-ai/","techhq","TechHQ","63"
"A lifetime of software and seeing the bigger picture","https://www.stxnext.com/hubfs/silicon%20republic%20logo.png","<span>Ronald Binkofski discusses his software career with Microsoft, his plans for STX Next and the importance of taking a calm and balanced approach to work.</span>","https://www.siliconrepublic.com/enterprise/ronald-binkofski-stx-next-software-leadership","silicon-republic","Silicon Republic","62"
"AI and ML are playing defining role in driving fintech automation, says STX Next","https://www.stxnext.com/hubfs/0063292b-918a-42eb-856f-a2b5bc30d646.png","AI and ML algorithms that can process large quantities of data are delivering increased efficiency, scalability and accuracy for fintechs pioneering the technology.","https://financialit.net/news/artificial-intelligence/ai-and-ml-are-playing-defining-role-driving-fintech-automation-says-stx","63-9-b-918a-4-eb-856f-a-b5bc3-d646","63 9 B 918a 4 Eb 856f A B5bc3 D646","61"
"AI training courses are popular, but devs aren't sure they need them","https://www.stxnext.com/hubfs/TechRadar_logo.svg.png","<span>Research from&nbsp;</span><a href=""../../../com/stxnext/www/index.html"" target=""_blank"" data-url=""https://www.stxnext.com/"" data-component-tracked=""1"" rel=""noopener"">STX Next</a><span>&nbsp;found 29% of developers have completed courses in AI and Machine Learning (ML), making it the third most popular training topic behind web development and software development.</span>","https://www.techradar.com/news/ai-training-courses-are-popular-but-devs-arent-sure-they-need-them","techradar","TechRadar","60"
"Announcing the shortlist for the Digital Technology Leaders Awards 2023","https://www.stxnext.com/hubfs/Computing_magazine_logo.svg.png","<span>Computing is delighted to announce our 2023 Digital Technology Leaders Awards shortlist.</span>","https://www.computing.co.uk/news/4115204/announcing-shortlist-digital-technology-leaders-awards-2023","computing-magazine","Computing Magazine","59"
"Channel roundup: Who’s gone where?","https://www.stxnext.com/hubfs/computer%20weekly%20logo.jpg","<strong>STX Next:</strong><span>&nbsp;The Polish IT services player has decided Matthew Ziff is the right candidate to become its UK managing director.&nbsp;</span>","https://www.computerweekly.com/microscope/news/366536296/Channel-roundup-Whos-gone-where","computer-weekly","Computer Weekly","58"
"ChatGPT vs alternatives for programmers","https://www.stxnext.com/hubfs/Information-Age-logo.png","ChatGPT and its alternatives are set to be especially useful for programmers writing code. But just how reliable is the technology for developers?","https://www.information-age.com/chatgpt-vs-alternatives-for-programmers-123502468/","information-age","Information Age","57"
